window_start	window_end	n_frames	avg_force_pN	sb_ASP614:LYS854_formed	sb_LYS557:ASP839_formed
28.00	31.60	191	235.8	1.000	0.068
31.60	36.00	198	172.3	1.000	0.000
36.00	45.00	455	334.3	0.402	0.000
45.00	55.00	489	155.2	0.000	0.000
