system	online_path	online_sha256	local_paths	local_sha256	relation	canonical_path	action
cleaved	03_SMD运行/cleaved/run_equil_cleaved_v01.sh	dea2281cf984e165f953b788dad57d16574f20520b2aac366f5720e8c83509e2	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/run_equil.sh	63ed474fb4e16d39a014811cc6bdc696061163b74d09260c282ae967f484bce6	EQUIVALENT_RUNTIME_REPLACEMENT	03_SMD运行/cleaved/run_equil_cleaved_v01.sh	USE_ONLINE_CANONICAL_REPLACEMENT
cleaved	03_SMD运行/cleaved/run_smd_cleaved_v03.sh	e4ea100552813d7e9dbe1ceabc50bc15e2c8da635d013dc21d495cf74bf90ed2	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/smd_production/run_smd_cleaved.sh	2433d6b217fdb51d64d5ee01dc7caa5f4425c10350da0d33cf77f3c28e918e56	EQUIVALENT_RUNTIME_REPLACEMENT	03_SMD运行/cleaved/run_smd_cleaved_v03.sh	USE_ONLINE_CANONICAL_REPLACEMENT
cleaved	03_SMD运行/cleaved/smd_pull_cleaved_v03.mdin	cf93f5e7325e365a7f13999ee4c55b0432d7caa241fc333c867c6d633b4ce040	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/smd_production/smd_pull_cleaved.mdin	fefb8fc79b068a09fbca9919e966d8ca96317f54cd1e6d4ee85766a27fdf6eb5	EQUIVALENT_RUNTIME_REPLACEMENT	03_SMD运行/cleaved/smd_pull_cleaved_v03.mdin	USE_ONLINE_CANONICAL_REPLACEMENT
cleaved	04_分析/cleaved/analyze_smd_cleaved_v03.py	7ed1681f479d340177014042b933fbf6ea7e66ec04b942de0d41e9bfc1d32fc8	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/smd_production/analyze_smd.py	aea068465269461d60f39be0434cc432b8ed4a650d58ffd7c96e252589e57fa3	EQUIVALENT_RUNTIME_REPLACEMENT	04_分析/cleaved/analyze_smd_cleaved_v03.py	USE_ONLINE_CANONICAL_REPLACEMENT
cleaved	04_分析/cleaved/analyze_smd_contacts_cleaved_v02.py	ae736b236af88a4113261a07281bed4dcb602ed4e452847c35aaee65fcdafa3e	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/analyze_smd_contacts.py	fbb6e40e22c522ca12364b929b8ffa4ddcb2f8fbbbd7963c24d2016ff54793d7	EQUIVALENT_RUNTIME_REPLACEMENT	04_分析/cleaved/analyze_smd_contacts_cleaved_v02.py	USE_ONLINE_CANONICAL_REPLACEMENT
cleaved	03_SMD运行/cleaved/align_min_cleaved_v01.mdin	3ce73e908b0357f54a839cd4ea25cf201129ad9923af330657b8101fd5467e94	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/align_min.mdin	3ce73e908b0357f54a839cd4ea25cf201129ad9923af330657b8101fd5467e94	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/align_min_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/eq1_nvt_cleaved_v01.mdin	6b0c7752735e720b3403b8b1ddfedfd22f58ccdc4645c407392539bf436c13a5	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/eq1_nvt.mdin	6b0c7752735e720b3403b8b1ddfedfd22f58ccdc4645c407392539bf436c13a5	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/eq1_nvt_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/eq2_npt_cleaved_v01.mdin	ee09379b6b252fd14f450ce15e3b233893abba478f5fc87000e98dccb90f5e40	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/eq2_npt.mdin	ee09379b6b252fd14f450ce15e3b233893abba478f5fc87000e98dccb90f5e40	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/eq2_npt_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/eq3_npt_cleaved_v01.mdin	fd93aaca3d648636b2cba8ba33846f76f3a7d029823125bd8770404b8356c71e	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/eq3_npt.mdin	fd93aaca3d648636b2cba8ba33846f76f3a7d029823125bd8770404b8356c71e	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/eq3_npt_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/eq4_npt_cleaved_v01.mdin	e266561498df7cc0d165895716c2b996af0faea3fe51b8b02ceba0ce50a8d1cd	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/eq4_npt.mdin	e266561498df7cc0d165895716c2b996af0faea3fe51b8b02ceba0ce50a8d1cd	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/eq4_npt_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/eq5_npt_cleaved_v01.mdin	2e6e8a09dafd71591c987fca5d062354579d777b6ae2dad7a0886ab88df7e9ac	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/eq5_npt.mdin	2e6e8a09dafd71591c987fca5d062354579d777b6ae2dad7a0886ab88df7e9ac	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/eq5_npt_cleaved_v01.mdin	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	03_SMD运行/cleaved/smd_cleaved_v02.RST	3bedbe1ecdc8845b4809a36b450fc5b9e310a1c715906a918496ec379fa9b339	simulations/construct-X/cleaved/charmm-gui-8643876985/amber/smd_cleaved.RST;simulations/construct-X/cleaved/charmm-gui-8643876985/amber/smd_production/smd_cleaved.RST	3bedbe1ecdc8845b4809a36b450fc5b9e310a1c715906a918496ec379fa9b339	EXACT_CONTENT_MATCH	03_SMD运行/cleaved/smd_cleaved_v02.RST	KEEP_CANONICAL_NAME_REFERENCE_LOCAL_SOURCES
cleaved	04_分析/cleaved/launch_all_replicas_cleaved_v01.sh	2c2964931a0539e46edfc9357c0a82dc8c8cbb984c745d3908159b6ee26214fb	-	-	ONLINE_ONLY_NO_LOCAL_BASELINE	04_分析/cleaved/launch_all_replicas_cleaved_v01.sh	KEEP_ONLINE_BASELINE_NO_PAIRING
cleaved	04_分析/cleaved/run_replica_cleaved_v01.sh	4151ae31b3d66cbb6a1ef4f1b44f46d7faf9fa80241325fa9cf001d8a314ea03	-	-	ONLINE_ONLY_NO_LOCAL_BASELINE	04_分析/cleaved/run_replica_cleaved_v01.sh	KEEP_ONLINE_BASELINE_NO_PAIRING
uncleaved	03_SMD运行/uncleaved/run_equil_uncleaved_v01.sh	04a84359e7581221a0888a5cf5c521e38dbf08f341e22a08bf7c111755c9d55c	simulations/construct-X/uncleaved/charmm-gui-8644096179/amber/run_equil.sh	63ed474fb4e16d39a014811cc6bdc696061163b74d09260c282ae967f484bce6	EQUIVALENT_RUNTIME_REPLACEMENT	03_SMD运行/uncleaved/run_equil_uncleaved_v01.sh	USE_ONLINE_CANONICAL_REPLACEMENT
