"container_sha256","physical_archive_count","representative_archive","common_root","file_count","tree_signature"
"29509aa6a105b707ab9fb6b9065eb6cd3199cdb23a589372f9e9b699b18ee6a5","1","simulations/construct-X/uncleaved/construct_X_uncleaved.tgz","charmm-gui-8644096179","138","de146b080fe9016421b55037f6144e55865be9db41121930ce7881f3f02f0361"
"2d68fc708a32101691e7abddde3ca4c1e65554a7272c7186a9df379bab935363","2","Cprime_migration_20260815/archive/P3_20260814_分片可重启/cleaved.tgz","cleaved","11","bce329b084e447be02e48b54f60793bba36b41e8e02f4aeae579a35e0e314f13"
"3d5bdec39c6de7bfbbdeea2d6f1b1b74fd4a9e938b2743ecb949bee20ea677c3","2","Cprime_migration_20260815/archive/P3_20260814_分片可重启/M3_SMD分片可重启包.tar.gz","M3_SMD分片可重启包","4","b46ac03c3ba9521a83a094025090e6b55821a3d94e44b6be213a135367d171bf"
"82de76be417b85dc7ffa4b14a5d190f347c16dded323ace376a4c1b63a8c2637","2","Cprime_migration_20260815/archive/P4_20260815_核验修订/M3_SMD初筛核验修订包.tar.gz","M3_SMD初筛核验修订包","11","d56c57b4632cfa0d983c84f2a8af5df57e9b6b6115beb028b6da94429a60a13c"
"bc48c181aec43e1781e8bc1d55e6958d7626916c6946919e59aa4e480283411c","1","simulations/M3_SMD初筛核验修订包.tar.gz","M3_SMD初筛核验修订包","11","07cd2c612f4cb357f9209fa0860d598da14cc0f72eecee91a155d6bf0e1d9ca9"
"c690db985aa83b89b0863a7ac0a9069b0f1cbaef36ab9570529ff4e277f6ec74","1","simulations/construct-X/cleaved/construct_X_cleaved.tgz","charmm-gui-8643876985","140","67cbdb605fd409481c66d8ef27b3a0fa22b25044510520ed5a05ade47304794a"
"d338a100947a70bdb3981e38a504fee4fa99bd9ddb8f0f1f2840ecc520318143","2","Cprime_migration_20260815/archive/P3_20260814_分片可重启/uncleaved.tgz","uncleaved","11","e78ec03d4885fb940fdab18dfbd130f5dbf173b00cc614970d2f10c7b90e1cef"
"d62a9f9acfbcffb56119a56ce562dcc26b499f4d1c3872f850ada0c65bda8440","1","simulations/construct-X/uncleaved/uncleaved.tgz","uncleaved","11","bd75f292e845e850aa726987157b4c177db7cda18b6656754c75d48c617b11ec"
"fc6041920c9c014b11c6f16b48459be447de4f5117ef6667a96b9c9de67dce32","1","simulations/construct-X/cleaved/cleaved.tgz","cleaved","11","6210e925646cef69dd04857078433f1943745524bfc3234871ef90a9a59d5a22"
